promo_id,promo_name,product_category,discount_pct,start_date,end_date,budget,stores,actual_spend,status
PR0001,Seasonal bakery Sale,bakery,25,2024-01-06,2024-01-23,6079,"S101,S102,S103,S104,S105",30072,completed
PR0002,Seasonal bakery Sale,bakery,25,2024-01-09,2024-01-27,21186,"S101,S102,S103,S104,S105",25467,active
PR0003,Seasonal bakery Sale,bakery,5,2024-01-17,2024-01-27,22145,"S101,S102,S103,S104,S105",37721,completed
PR0004,Seasonal dairy Sale,dairy,20,2024-01-17,2024-01-28,7363,"S101,S102,S103,S104,S105",36946,completed
PR0005,Seasonal produce Sale,produce,10,2024-01-12,2024-01-26,41645,"S101,S102,S103,S104,S105",17609,completed
PR0006,Weekly bakery Sale,bakery,15,2024-01-17,2024-01-28,38551,"S101,S102,S103,S104,S105",29702,completed
PR0007,Weekly meat Sale,meat,5,2024-01-01,2024-01-28,37721,"S101,S102,S103,S104,S105",10034,completed
PR0008,Seasonal frozen Sale,frozen,20,2024-01-09,2024-01-29,12674,"S101,S102,S103,S104,S105",8537,active
PR0009,Holiday frozen Sale,frozen,20,2024-01-07,2024-01-31,10443,"S101,S102,S103,S104,S105",2866,active
PR0010,Holiday beverages Sale,beverages,10,2024-01-13,2024-01-21,12799,"S101,S102,S103,S104,S105",11706,active
PR0011,Weekly beverages Sale,beverages,5,2024-01-03,2024-01-22,31712,"S101,S102,S103,S104,S105",7200,completed
PR0012,Holiday household Sale,household,10,2024-01-09,2024-01-25,21741,"S101,S102,S103,S104,S105",29293,completed
PR0013,Holiday beverages Sale,beverages,20,2024-01-04,2024-01-21,12465,"S101,S102,S103,S104,S105",24270,active
PR0014,Holiday beverages Sale,beverages,5,2024-01-19,2024-01-26,14594,"S101,S102,S103,S104,S105",3237,active
PR0015,Holiday household Sale,household,25,2024-01-16,2024-01-26,21398,"S101,S102,S103,S104,S105",31694,completed
PR0016,Seasonal household Sale,household,15,2024-01-15,2024-01-25,35169,"S101,S102,S103,S104,S105",23468,cancelled
PR0017,Weekly beverages Sale,beverages,5,2024-01-15,2024-01-22,18328,"S101,S102,S103,S104,S105",30628,completed
PR0018,Holiday produce Sale,produce,5,2024-01-18,2024-01-25,30406,"S101,S102,S103,S104,S105",23136,active
PR0019,Holiday produce Sale,produce,10,2024-01-16,2024-01-26,32068,"S101,S102,S103,S104,S105",43240,cancelled
PR0020,Holiday dairy Sale,dairy,5,2024-01-20,2024-01-24,27106,"S101,S102,S103,S104,S105",1727,active
